model,feature_set,horizon,split,MAE,RMSE,R2,r,Bias,MAPE,sMAPE,WAPE,nMAE,nRMSE,range_y,n,NLL,mean_epistemic_std,mean_aleatoric_std,mean_total_std,pit_ks_stat,pit_ks_pvalue,coverage_50,sharpness_50,coverage_68,sharpness_68,coverage_80,sharpness_80,coverage_90,sharpness_90,coverage_95,sharpness_95,coverage_99,sharpness_99
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+1,train,10.1873,12.719,0.4544,0.6922,0.0895,26.53,22.57,19.99,0.127,0.1586,80.2128,1108,3.9191,2.4842,13.2494,13.575,0.0319,0.2052,0.5045,18.3124,0.6895,26.9996,0.8303,34.7942,0.944,44.6579,0.9874,53.2131,1.0,69.9339
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+2,train,10.1159,12.652,0.4573,0.6952,0.1132,26.41,22.49,19.9,0.1261,0.1577,80.2128,1108,3.9127,2.4334,13.1634,13.4796,0.0357,0.1154,0.5081,18.1837,0.6868,26.8098,0.8231,34.5496,0.9431,44.344,0.9874,52.8391,1.0,69.4424
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+3,train,10.045,12.5962,0.4588,0.6964,0.0947,26.33,22.39,19.8,0.1252,0.157,80.2128,1108,3.9083,2.4676,13.1004,13.4199,0.0376,0.0854,0.5135,18.1032,0.6877,26.691,0.8231,34.3966,0.9486,44.1475,0.9901,52.605,1.0,69.1347
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+4,train,9.9583,12.4843,0.4657,0.7019,0.002,26.09,22.26,19.68,0.1241,0.1556,80.2128,1108,3.9011,2.4489,13.0303,13.3507,0.0467,0.0154,0.5226,18.0098,0.685,26.5534,0.8258,34.2192,0.9431,43.9199,0.9892,52.3337,1.0,68.7782
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+5,train,9.943,12.4677,0.4653,0.7007,-0.0743,26.14,22.3,19.7,0.124,0.1554,80.2128,1108,3.9026,2.4404,13.0642,13.3789,0.0503,0.007,0.5153,18.0479,0.6913,26.6096,0.824,34.2916,0.944,44.0128,0.9865,52.4445,1.0,68.9238
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+6,train,9.9909,12.5083,0.4604,0.6963,-0.0452,26.37,22.47,19.84,0.1246,0.1559,80.2128,1108,3.9082,2.4292,13.1079,13.4162,0.0439,0.0273,0.5153,18.0981,0.6868,26.6836,0.8312,34.387,0.9449,44.1353,0.9865,52.5904,1.0,69.1156
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+7,train,10.1111,12.5979,0.4508,0.6889,-0.129,26.68,22.75,20.12,0.1261,0.1571,80.2128,1108,3.9181,2.4858,13.1992,13.5145,0.0421,0.0384,0.5117,18.2307,0.6823,26.8791,0.8312,34.639,0.9495,44.4586,0.9847,52.9757,1.0,69.6219
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,ALL,train,10.0502,12.5754,0.4591,0.6959,0.0073,26.36,22.46,19.86,0.1253,0.1568,80.2128,7756,3.91,2.4556,13.1307,13.4478,0.0393,0.0,0.513,18.1408,0.6871,26.7466,0.827,34.4682,0.9453,44.2394,0.9874,52.7145,1.0,69.2786
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+1,val,9.8077,11.2546,0.241,0.4933,0.2494,23.66,21.2,19.64,0.1793,0.2057,54.7076,135,3.8556,1.9834,13.6343,13.8101,0.1098,0.0713,0.5111,18.6296,0.7407,27.4672,0.9259,35.3968,1.0,45.4312,1.0,54.1347,1.0,71.145
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+2,val,9.7359,11.2578,0.2323,0.4854,0.5693,23.65,21.13,19.66,0.1761,0.2036,55.2959,135,3.8568,1.9291,13.5732,13.74,0.1085,0.0772,0.4741,18.535,0.7481,27.3277,0.9037,35.217,1.0,45.2005,1.0,53.8598,1.0,70.7837
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+3,val,9.8409,11.3778,0.2094,0.464,0.9636,24.09,21.46,20.11,0.187,0.2162,52.6303,135,3.8631,1.9749,13.5057,13.6788,0.1135,0.057,0.4593,18.4524,0.7333,27.206,0.9037,35.0602,1.0,44.9993,1.0,53.62,1.0,70.4686
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+4,val,10.0472,11.5553,0.1751,0.4308,1.2777,24.72,22.0,20.77,0.1978,0.2275,50.782,135,3.8735,1.9877,13.422,13.5986,0.1014,0.1162,0.4593,18.3442,0.7185,27.0464,0.8889,34.8546,1.0,44.7354,1.0,53.3055,1.0,70.0553
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+5,val,10.2396,11.7574,0.1393,0.3957,1.5057,25.3,22.51,21.37,0.2002,0.2299,51.1448,135,3.8886,1.95,13.4721,13.6418,0.093,0.182,0.4296,18.4025,0.7037,27.1324,0.8963,34.9653,0.9926,44.8775,1.0,53.4749,1.0,70.2779
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+6,val,10.3549,11.8948,0.1107,0.3653,1.5723,25.66,22.81,21.69,0.2045,0.2349,50.6437,135,3.8976,1.9832,13.4992,13.6735,0.0928,0.1837,0.4296,18.4453,0.6963,27.1955,0.8815,35.0466,1.0,44.9819,1.0,53.5992,1.0,70.4413
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+7,val,10.6074,12.1715,0.097,0.3428,1.4132,26.2,23.34,22.24,0.2025,0.2323,52.3881,135,3.9166,2.05,13.5902,13.7737,0.0858,0.2582,0.437,18.5804,0.6889,27.3947,0.8667,35.3033,0.9852,45.3113,1.0,53.9918,1.0,70.9572
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,ALL,val,10.0905,11.6143,0.1762,0.4286,1.0787,24.75,22.06,20.77,0.1818,0.2092,55.5171,945,3.8788,1.9798,13.5281,13.7024,0.0885,0.0,0.4571,18.4842,0.7185,27.2528,0.8952,35.1206,0.9968,45.0767,1.0,53.7122,1.0,70.5899
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+1,test,10.7218,12.8761,0.0417,0.3028,-0.7653,25.1,23.38,22.08,0.2045,0.2456,52.4191,144,3.9626,2.5821,13.979,14.3314,0.0622,0.6111,0.4375,19.3328,0.6667,28.504,0.875,36.7329,0.9653,47.1461,0.9931,56.1781,1.0,73.8305
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+2,test,10.6076,12.7489,0.028,0.2939,-0.489,25.0,23.26,21.99,0.2022,0.243,52.4615,144,3.9533,2.5328,13.9054,14.2479,0.0538,0.7778,0.4722,19.2201,0.7153,28.3379,0.8611,36.5188,0.9514,46.8714,0.9931,55.8508,1.0,73.4003
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+3,test,10.4298,12.5128,0.0355,0.3041,-0.3164,24.76,23.02,21.74,0.1988,0.2385,52.4615,144,3.9364,2.5954,13.8396,14.1887,0.064,0.5746,0.5,19.1403,0.7292,28.2201,0.8819,36.3671,0.9722,46.6767,0.9861,55.6187,1.0,73.0954
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+4,test,10.5591,12.8937,-0.0403,0.237,-0.1946,25.15,23.35,22.14,0.2013,0.2458,52.4615,144,3.962,2.5312,13.7581,14.0965,0.0551,0.754,0.5208,19.0159,0.7153,28.0367,0.8472,36.1307,0.9514,46.3733,0.9722,55.2572,1.0,72.6202
MLP-Gaussian-DeepEnsemble-Warmup-Optuna,ACQUA,t+5,test,10.6606,12.9692,-0.0547,0.2175,-0.3028,25.43,23.57,22.38,0.2032,0.2472,52.4615,144,3.974,2.5154,13.7947,14.1222,0.0561,0.7333,0.4931,19.0506,0.7222,28.0879,0.8472,36.1966,0.9375,46.4579,0.9722,55.358,1.0,72.7527
